Price,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMD,AMZN,INTC,MSFT,NVDA,TSLA,AAPL,AMD,AMZN,INTC,MSFT,NVDA,TSLA,AAPL,AMD,AMZN,INTC,MSFT,NVDA,TSLA,AAPL,AMD,AMZN,INTC,MSFT,NVDA,TSLA,AAPL,AMD,AMZN,INTC,MSFT,NVDA,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-07,238.2552947998047,100.30999755859375,199.25,20.639999389648438,391.2127380371094,112.66545867919922,262.6700134277344,240.54744460053885,100.6500015258789,202.27000427246094,21.200000762939453,392.6947831487431,113.45528753337068,266.25,233.95996981993864,96.38999938964844,192.52999877929688,20.110000610351562,383.4841811851977,107.53657110597264,250.72999572753906,234.30878315837532,98.87999725341797,199.49000549316406,20.270000457763672,390.2280267594304,111.22576986878714,259.32000732421875,46273600,33254400,59802800,81099600,22034100,341755500,102369600
2025-03-10,226.70477294921875,96.62999725341797,194.5399932861328,19.93000030517578,378.13287353515625,106.95669555664062,222.14999389648438,235.35520052510583,101.29000091552734,196.72999572753906,20.510000228881836,384.3395902213564,111.82562964494369,253.3699951171875,223.45588808739058,95.83000183105469,190.85000610351562,19.649999618530273,375.20854809150063,105.43702244846195,220.0,234.73730306532093,98.56999969482422,195.60000610351562,20.239999771118164,383.7825787420743,109.87605754375717,252.5399932861328,72071200,38733200,62350900,82760600,32840100,366487400,189076900
2025-03-11,220.08741760253906,96.76000213623047,196.58999633789062,19.780000686645508,378.4212951660156,108.73631286621094,230.5800018310547,225.07037859810526,98.16000366210938,200.17999267578125,20.059999465942383,383.9416881253617,112.2155506077548,237.05999755859375,216.70897065581676,94.7300033569336,193.39999389648438,19.290000915527344,374.9001634128666,104.74717644545998,217.02000427246094,223.0472976504486,96.79000091552734,193.89999389648438,19.969999313354492,376.97901502464265,106.96669412251354,225.30999755859375,76137400,34078300,54002900,80789000,30380200,354865700,174896400
2025-03-12,216.2405548095703,100.79000091552734,198.88999938964844,20.68000030517578,381.22625732421875,115.7254409790039,248.08999633789062,220.99430349899413,101.72000122070312,201.52000427246094,21.170000076293945,383.1658713736677,116.74531696319002,251.83999633789062,214.17761702040198,98.16999816894531,195.2899932861328,20.209999084472656,376.92931616803475,112.8658000774832,241.10000610351562,219.3897895710681,99.05000305175781,200.72000122070312,20.790000915527344,380.9079867475423,114.10564961231475,247.22000122070312,62547500,34241300,43679300,128671100,24253600,323857500,142215700
2025-03-13,208.96543884277344,98.11000061035156,193.88999938964844,23.700000762939453,376.750244140625,115.56546020507812,240.67999267578125,216.1010424274323,100.06999969482422,198.8800048828125,24.530000686645508,383.2653352756173,117.74518623487266,248.2899932861328,207.7097381833997,97.2699966430664,191.82000732421875,23.1299991607666,375.43730594967485,113.77568449740161,232.60000610351562,215.2140760046737,99.72000122070312,198.1699981689453,23.5,381.1168495701804,117.01527472285696,248.1300048828125,61368300,28575200,41270800,243261000,20473000,299033100,114813500
2025-03-14,212.76246643066406,100.97000122070312,197.9499969482422,24.049999237060547,386.4880676269531,121.65469360351562,249.97999572753906,213.22089031000854,101.22000122070312,198.64999389648438,24.3700008392334,388.1491759928466,121.86466627272753,251.5800018310547,208.86578742228792,99.58000183105469,195.32000732421875,23.520000457763672,377.48633735073093,118.13513973204245,240.72999572753906,210.53009451028822,99.63999938964844,197.41000366210938,23.68000030517578,377.7548866940246,118.59508095437823,247.30999755859375,60107600,24715300,38096700,116901600,19952800,277593500,100242300
2025-03-17,213.27072143554688,104.58999633789062,195.74000549316406,25.690000534057617,386.6273193359375,119.51496124267578,238.00999450683594,214.48656508270392,106.1500015258789,199.0,26.149999618530273,390.61591588488574,122.87453914631989,245.39999389648438,209.25445626243933,102.5999984741211,194.32000732421875,24.3700008392334,383.5140048019888,118.01514995099303,232.8000030517578,212.58307041465437,102.5999984741211,198.77000427246094,24.420000076293945,384.6379840789578,122.72455649146468,245.05999755859375,48073400,43689500,47341800,160723600,22474300,255501500,111900600
2025-03-18,211.96517944335938,103.51000213623047,192.82000732421875,25.920000076293945,381.4749450683594,115.41547393798828,225.30999755859375,214.41678753127792,104.55000305175781,194.0,26.40999984741211,385.3044217812384,119.00501849033903,230.10000610351562,210.76927194631702,102.97000122070312,189.3800048828125,25.389999389648438,379.06786623501773,114.52558655092061,222.27999877929688,213.43017106944268,103.8499984741211,192.52000427246094,25.549999237060547,385.0060336134189,117.98515020944649,228.16000366210938,42432400,27152800,40414900,132488800,19486900,299686900,111477600
2025-03-19,214.50648498535156,106.2300033569336,195.5399932861328,24.1200008392334,385.75201416015625,117.50520324707031,235.86000061035156,218.0144781615262,107.9000015258789,195.97000122070312,25.229999542236328,387.6020814133235,120.43483472433577,241.41000366210938,213.0215573102422,101.95999908447266,191.9600067138672,24.030000686645508,381.9523764633006,115.66543852758707,229.1999969482422,213.48995680484757,104.41999816894531,193.3800048828125,24.899999618530273,383.47421674907764,117.25523471702526,231.61000061035156,54385400,32287500,39442900,135491400,19185500,273426200,111993800
2025-03-20,213.37039184570312,107.13999938964844,194.9499969482422,23.959999084472656,384.7772216796875,118.51508331298828,236.25999450683594,216.74883872802718,108.26000213623047,199.32000732421875,24.309999465942383,389.7008385815923,120.18487133427746,238.0,211.49679368091097,105.12000274658203,192.3000030517578,23.729999542236328,381.2362073514129,116.4553449784264,230.0500030517578,213.2607660976187,105.12000274658203,193.07000732421875,23.770000457763672,383.68308121761453,116.53533674228605,233.35000610351562,48862900,26871800,38921100,68937600,18470500,248829700,99028300
