Price,Close,High,Low,Open,Volume
Ticker,PEP,PEP,PEP,PEP,PEP
Date,,,,,
2011-01-11,42.77248001098633,43.043313160239364,42.56613024206498,42.778924905182905,4686400
2011-01-12,43.03042221069336,43.24966670692495,42.91435014805105,43.01752258164033,5265100
2011-01-13,43.14650344848633,43.501164606591864,42.97884267351264,43.01108191346694,7943000
2011-01-14,43.06267547607422,43.30771931026116,42.92725884549287,43.30126949363293,5986100
2011-01-18,42.9272346496582,43.30124508698815,42.817612427609504,42.856301466034736,6066000
2011-01-19,42.49520492553711,43.0046320881983,42.359788325807045,42.99173245788069,7872400
2011-01-20,42.49520492553711,42.77248794015605,42.43716642864281,42.52099926640486,7131000
2011-01-21,42.47584533691406,42.76602295917946,42.34687367831165,42.682195070912194,5564400
2011-01-24,42.67575454711914,42.67575454711914,42.30174403541121,42.42426590781097,4713700
2011-01-25,42.41135787963867,42.720884946590175,42.39846317340836,42.56612387299734,4986100
2011-01-26,42.46940994262695,42.58548201489333,42.2501605084494,42.488754468043446,6797600
2011-01-27,42.27594757080078,42.52743619745434,42.205014376640385,42.3855747289001,6819700
2011-01-28,41.52793884277344,42.4565105053549,41.34738337837614,42.20502183426331,10455700
2011-01-31,41.46989440917969,41.708488335697616,41.32802801610236,41.495688746081626,8666100
2011-02-01,41.947078704833984,42.0051122681167,41.46344599841284,41.61175727331286,7138100
2011-02-02,41.689144134521484,41.82456071447615,41.29578910332457,41.55372755456683,8221000
2011-02-03,41.38606262207031,41.708484423451424,41.27644039034464,41.59886219172575,6693300
2011-02-04,41.16682434082031,41.45055470004082,41.05075227116564,41.366726785199724,8423900
2011-02-07,41.063655853271484,41.25710851294267,40.792820161824594,41.237763984940756,8157900
2011-02-08,41.37961959838867,41.44410298529256,40.9540228491258,41.0249560506502,6064800
2011-02-09,41.54084014892578,41.760089618911046,41.25066238075185,41.515045804235264,6132000
2011-02-10,40.85728073120117,41.392501966872565,40.58644520740002,40.93466125519472,15759300
2011-02-11,41.18614959716797,41.28287463670567,40.34140626974586,40.380095301607945,9016500
2011-02-14,40.84439468383789,41.48279094521377,40.734769990118195,41.24419703648163,9108700
2011-02-15,41.495689392089844,41.560172775465226,40.6638429230605,40.812156672730595,9487900
2011-02-16,41.244205474853516,41.579526978421,41.16682491396761,41.328033390861705,8043300
2011-02-17,41.72138595581055,41.727835770427816,40.76702002267142,40.805709070840905,10851000
2011-02-18,40.88953399658203,41.59886345712756,40.75411742625466,41.59886345712756,14023700
2011-02-22,40.721885681152344,40.96692454637702,40.34787510809814,40.405911146679514,9637500
2011-02-23,40.580013275146484,41.12168206869229,40.5606687517681,40.75412136520229,9527000
2011-02-24,40.644493103027344,40.75411779897341,40.43814333876991,40.528421053147135,9120900
2011-02-25,41.01206970214844,41.199075017347205,40.55423113863491,40.61871700243665,6523300
